Title,Description,DATE,URL REDIRECT,Presented By,BrightTalk URL,Has this been migrated?,Stage Site URL,Migration clean up completed?,Who,Date,asdfa,Type,Topic,Product/Service,Industry,Taxonomy added?,ID
Validating Security Effectiveness with an Evidence-based Approach,"Cybersecurity spending must be tied to business relevance - protecting business continuity, protecting critical assets, rationalizing investments, and demonstrating compliance with regulatory mandates. This is accomplished through an effective security validation program that utilizes automation and an intelligence-driven approach to mitigate risk, optimize controls, and communicate value.

Join Brian Contos, VP Technology Innovation| FireEye Mandiant and Jeff Vinson, CISO & VP |Harris Health System as they discuss how Mandiant Security Validation (formerly Verodin) helps organizations automate real-time monitoring by leverage an intelligence-driven methodology to maximize the value and mitigate risk.

In the session they will discuss:
>> Delivering value for security teams and executives
>> Leveraging automation, real-time monitoring and input from threat intelligence and incident response for an effective security program
>> Managing the impacts of COVID-19 on your security team",5/14/2020,No,Brian Contos##VP Technology Innovation| FireEye Mandiant || Jeff Vinson##CISO & VP |Harris Health System,https://www.brighttalk.com/webcast/17758/389524,No,,No,,,,Webinar,"COVID, Business Risk, Threat Intelligence",Security Validation,General,No,31
VS21 Assessing and Managing Cyber Risk: An Approach for Chief Risk Officers (CROs),"Simply investing in cyber security controls isn’t enough, as countless victims of cyber-attacks have learned the hard way. This session will offer valuable insights and recommendations for Chief Risk Officers (CROs) and C-suite decision makers about how to move beyond simply ticking a box to ensuring their cyber security investments are effective and working as intended to provide risk assurance.

In this lesson you will learn about:
● The importance of moving from auditing security control existence to security control effectiveness
● Determining the right level of risk for your organization
● How to assess if security controls are working as they should",4/12/2021,no,"Steve Ledzian ## Vice President, Chief Technology Officer, Asia Pacific",https://www.brighttalk.com/webcast/10469/473822,No,,No,,,,Webinar,"Chief Risk Officer, Risk, C-Suite",Security Validation,General,No,32
"VS21 Connect the Dots of Your Security Evidence:
","Security analysts spend more time staring at multiple screens and consoles of alerts instead of focusing on the real cyber detective work of finding attackers. Current SOC tools only fill in some of the blanks and require constant tuning and maintenance. There is a better way.

This Virtual Summit session covers:
-The new Extended Detection and Response (XDR) product category
-How organizations are deploying XDR technology to address attacks faster at a fraction of the cost

",4/15/2021,no,"Dan Lamorena## VP of Product Marketing, Mandiant Advantage|| Eric Adams##CISO and SVP, Kyriba",https://www.brighttalk.com/webcast/7451/476302,No,,No,,,,Webinar,"SOC, XDR",Automated Defense,General,No,33
VS21 Cyber Threat Profile: The Centerpiece of Intelligence-Led Programs,"A cyber threat profile enables organizations to benchmark and understand risks as a function of internal operations against the evolving threat landscape. Integrating a dynamic cyber threat profile into an organization’s sustainable workflow also better equips them to identify key priorities for further investment using an intelligence-led approach to cyber security.

Join Igors Konovalovs, Director, GSS Sales, Asia Pacific, FireEye, to learn why a cyber threat profile should be the centerpiece of any intelligence-led program. Specifically, the discussion will offer:

● Industry case studies and best practices for developing a dynamic cyber threat profile
● How to use a cyber threat profile to identify threats that matter most
● Ways to maintain a cyber threat profiles as part of an intelligence-led security program

",4/13/2021,no,"Igors Konovalovs##Director - GSS Sales, Asia Pacific, FireEye",https://www.brighttalk.com/webcast/10469/475743,No,,No,,,,Webinar,"Threat Intelligence, Threat Profile",Threat Intelligence,General,No,34
VS21 Eliminate Uncertainty with Security Validation,"If you can measure it, you can improve it. One major challenge for cyber security teams is establishing a measurable process of validating their security operations to be able to identify gaps in detection coverage and areas of redundancy to provide specific areas of improvement including potential saving across your security controls.

This webinar will discuss how to:
• Operationalize Threat Intelligence: Ensure your security controls stand up to the latest tactics, techniques and procedures used by threat actors in your region and industry.
• Plan security improvements: From both a technology and process perspective.
• Establish evidence-based KPIs to improve security controls.
• Report the organization’s ability to mitigate pertinent cyber risks to senior stakeholders

Join this session to uncover how security validation proves the value of your efforts and ultimately reinforces your organization’s security posture.

",4/14/2021,no,"Hatem Ali##Global Services and Intelligence Lead MEA, FireEye Mandiant",https://www.brighttalk.com/webcast/12695/479075,No,,No,,,,Webinar,"Validation, Security Strategy",Security Validation,General,No,35
VS21 Fantastic Intelligence Use Cases and Where To Find Them,"Cyber threat intelligence (CTI) is a powerful weapon for organizations to identify and better understand relevant threats and how to defend against them. But it goes further than that. When shared across the company from vulnerability management and the security operations center to risk management and senior leadership, CTI can drive better business outcomes.

Join FireEye Mandiant for an in-depth discussion about:
● How CTI insights should be extended to broader teams, including who, why it matters, and how it can be leveraged in business decision-making
● Real-world examples and best practice approaches to sharing CTI with business leadership
● How to leverage CTI to optimize and validate defenses

",4/14/2021,no,"Jamie Collier##Cyber Threat Intelligence Consultant, FireEye Mandiant",https://www.brighttalk.com/webcast/10703/479023,No,,No,,,,Webinar,Threat Intelligence,"Threat Intelligence, Business Risk",General,No,36
VS21 Fireside Chat with the Head of Mandiant Intelligence: Sandra Joyce,"Join Sandra Joyce, FireEye’s Executive Vice President of Global Intelligence, for a lively discussion about today’s adversaries in an era consumed by a pandemic, geopolitical tensions, and rampant cybercrime.

In this session, Sandra will discuss:

- Real-world examples of today’s threats
- Insight into how today’s threat actors are operating
- Tactics and trends that are likely to play an integral role in the landscape of cybersecurity in the years to come

",4/13/2021,no,"Sandra Joyce##Executive Vice President of Global Mandiant Intelligence ||Sarah Geary##Manager, Mandiant",https://www.brighttalk.com/webcast/12695/476523,No,,No,,,,Webinar,"Threat Actors, TTPs, Trends", ,General,No,37
VS21 Hacking your Operational Technology for Defense,"Ransomware, supply chain attacks and other threats don’t just affect IT networks. Operational Technology (OT), including Industrial Control Systems (ICS), are increasingly being targeted by attackers and nation state groups. With critical infrastructure and public services at stake, OT Security teams must increasingly adopt cyber security strategies from IT Security, such as red teaming and penetration testing, to prevent and respond to these threats. 

Join Rob Caldwell, Director of ICS Consulting at Mandiant, Jeff Greene CISO at International Paper and Daniel Kapellmann, Tech Analysis Manager, Mandiant to learn: 

-How Mandiant Offensive Security teams gained access to an electric utility 
-The importance of OT cyber physical threat intelligence in protecting OT networks 
-How IT network security plays a critical role in protecting the OT segment 
-How International Paper leverages technology and expertise to improve their OT security posture

",4/13/2021,no,"Rob Caldwell##Director, Mandiant||Jeff Greene## CISO, International Paper||Daniel Kapellmann##Tech Analysis Manager, Mandiant",https://www.brighttalk.com/webcast/12695/480199?utm_source=FireEye&utm_medium=brighttalk&utm_campaign=480199,No,,No,,,,Webinar,"Ransomware, Supply Chain, Operational Technology", ,General,No,38
VS21 How to Proactively Prepare to Defend Against Threats that Matter,"Know Your Enemy and Know Yourself: How to Proactively Prepare to Defend Against Threats that Matter

Security teams are under constant pressure to know their adversaries and the attack tactics they use, and prioritize resources to protect the organization. This is best achieved with expert intelligence about what matters right now, combined with data-driven detection and response and a clear picture of how security controls perform.

Join Mandiant for a discussion about how relevant breach intelligence delivered in a scalable and consistent manner empowers you to prioritize your organization’s security focus and build an effective detection and response operation. When combined with validation of security performance, you’re able to measure and strengthen the health of your security infrastructure and protect against the worst cyber offenders.
Attend this session to discover:
- How to operationalize threat intelligence to understand relevant threats and attack techniques targeted at your organization
- Best practices for validating performance of security controls, people, and processes to determine where to prioritize focus
- The importance of automation and expert managed services across all capabilities to improve efficiency, reduce costs, and strengthen security

",4/13/2021,no,"Michael Armistead##Sr. Vice President, Mandiant Advantage Products ||Dan Lamorena##VP, Mandiant",https://www.brighttalk.com/webcast/10469/477791,No,,No,,,,Webinar,"Threat Detection, Security Validation", ,General,No,39
VS21 Intelligence-Led Security Validation: A Strategy to Prove & Communicate Competency,"Intelligence-Led Security Validation: A Strategy to Prove & Communicate Competency

Today we are seeing some of the most aggressive and sophisticated adversary attacks ever recorded. To ensure the health of your organization’s security infrastructure, it’s vital to validate the efficacy of security defenses with the use of authentic and relevant content based on active threat intelligence. Intelligence-led security validation enables you to quantify your risk, prioritize resources and prove competency. The result is the ability to strengthen and maintain your cyber stance against today’s evolving and aggressive adversary landscape.

In this session, you will:

● Learn that testing or validation technology is not enough—The steps required for an effective security validation strategy include the use of authentic and active threat intelligence, and why the emulation of real attacks, rather than attack simulation, is critical
● Gain insights into how threat intelligence informs security validation efforts by identifying the threat actors that are most likely targeting your organization
● Understand how continuous validation can prove security effectiveness and operational competency—Ultimately, assuring security infrastructure health, identifying areas for optimization, and reducing risk exposure.

",4/14/2021,no,"Colby M. DeRodeff##Chief Technology Officer, Mandiant Advantage||Rob Potter##VP of Validation Customer Success, Mandiant",https://www.brighttalk.com/webcast/10469/477794,No,,No,,,,Webinar,"Threat Intelligence, Security Validation","Threat Intelligence, Security Validation",General,No,40
VS21 Malware Maelstrom: Guarding Against the Return of APT10 and its Subsets,"In 2020, during an incident response engagement, FireEye Mandiant stumbled upon APT10 for the first time since the U.S. indictments against the group in late 2018. Upon re-discovery and identification of the group’s new and evolved tooling, FireEye Mandiant determined that other previous incident response engagements that were largely unrecognized had likely featured APT10.

This presentation will take a deep dive look into:
● How FireEye Mandiant re-discovered APT10 and the threat actor’s new malware and updated tools
● The difficulties in conducting malware-based attribution and possible subsets of APT10
● How organizations can spot this threat group and what defensive steps to take

",4/13/2021,no,"Adrien Bataille##Senior Consultant, FireEye Mandiant|| Mitchell Clarke##Principal Consultant, FireEye Mandiant",https://www.brighttalk.com/webcast/12695/479061,No,,No,,,,Webinar,"Incident Response, APT, APT10",Incident Response,General,No,41
VS21 M-Trends 2021 First Look: The Top Cyber Trends and Attacks Through an EMEA Lens,"For more than a decade, FireEye Mandiant’s annual M-Trends report has been a reliable source of expert insights and frontline intelligence for security professionals worldwide. This year’s highly sought-after report, being released at the Virtual Summit, provides timely data and insights based on global investigations of high-impact cyber-attacks and remediations.

Join FireEye EMEA CTO David Grout for a first-hand look at the latest incident response metrics, attacker trends and behaviours, and case study highlights from the 2021 report. This session will feature expert analysis and commentary on critical topics including:
● Ransomware Trends and Remediation Techniques
● SUNBURST / UNC2452 Investigation Insights
● Enhanced Red Teaming Tactics
● Growing Insider Threats

",4/15/2021,no,"David Grout##CTO, EMEA, FireEye",https://www.brighttalk.com/webcast/10703/479027,No,,No,,,,Webinar,"MTrends, Ransomware, SUNBURST, UNC, EMEA", ,General,No,42
VS21 On the Defensive: Shaping Your Cyber Strategy in the Wake of UNC2452,"On December 13, 2020, FireEye discovered a global intrusion campaign performed by a highly evasive attacker leveraging the SolarWinds supply chain to compromise multiple global victims. The campaign, which may have begun as early as Spring 2020, is the work of highly skilled and likely nation-backed actors and was conducted with significant operational security. FireEye is continuing to track the threat actors behind this campaign and has labeled them UNC2452.

In this session, you will learn first-hand:
● What FireEye Mandiant knows and continues to uncover about these threat actors
● Multiple techniques the actors are using to achieve their mission while obscuring their activities to evade detection
● Insights into detection and defensive strategies that organizations should deploy in the aftermath of UNC2452

",4/14/2021,no,"Bader Azzouqa##Senior Consultant, FireEye Mandiant",https://www.brighttalk.com/webcast/7451/479058,No,,No,,,,Webinar,"SolarWinds, UNC, UNC2452", ,General,No,43
VS21 The Top Cyber Trends and Attacks: A First Look at M-Trends 2021,"The annual M-Trends report from FireEye Mandiant has served as a reliable source of frontline evidence and thought leadership for security professionals for more than a decade. This highly sought-after report provides timely data and insights based on global investigations of high-impact cyber attacks and remediations.

Join Mandiant experts for a first look into the latest incident response metrics, attacker trends and behaviors, and case study highlights from the 2021 report. This session will feature expert analysis and commentary on critical topics including:

• Ransomware Trends and Remediation Techniques
• SUNBURST / UNC2452 Investigation Insights
• Enhanced Red Teaming Tactics
• Growing Insider Threats
• And much more

This session is recommended as a pre- or post-cursor to By the Numbers: M-Trends 2021 webinar.

Expert panelists: Steven Stone, Sr. Director, Advanced Practices, FireEye Mandiant; Scott Runnels, Tech. Director, Mandiant; Genevieve Stark, Sr. Analyst, Mandiant; Moderator: Jennifer Guzzetta, Sr. PMM, Mandiant Services

",4/13/2021,no,"Steven Stone##Sr. Director, FireEye Mandiant||Scott Runnels##Tech. Director, Mandiant||Genevieve Stark##Sr. Analyst, Mandiant",https://www.brighttalk.com/webcast/7451/472530,No,,No,,,,Webinar,"MTrends, Ransomware, UNC2452", ,General,No,44
VS21 Using Cyber Intelligence to Advance Your Security Validation Program,"Intelligence-led security has never been more important in the battle to protect organizations against cyber attacks. This session will cover how organizations and federal agencies are operationalizing threat intelligence within the Mandiant Security Validation Platform to continuously measure, manage and improve cybersecurity effectiveness.  

Attendees will gain greater understanding of:

● The use of cyber intelligence data sets to prioritize resources
● How real-world adversary tactics, techniques, and procedures (TTPs) can be used to measure and improve the effectiveness of individual security controls
● How an organization can improve its ability to detect, block, and alert based on a comprehensive set of attack behaviors
● Outcome measurement dashboards aligning to MITRE ATT&CK and NIST architectures

",4/13/2021,no,"Major General Earl Matthews##VP, Strategy, Mandiant||Karlo Arozqueta## Sr. Sales Engineer||Tim Gallo##Systems Architect",https://www.brighttalk.com/webcast/10703/476277,No,,No,,,,Webinar,"Intelligence-Led Security, TTPs, MITRE ATTA&CK,",Security Validation,General,No,45
VS21 Vigilance in An Era When Ransomware Is Big Business,"Ransomware has become big business with targets spanning organizations across industries. If you are attacked, the cost to your organization could total more than $1 million. This session will offer valuable insights and recommendations on how you can best protect your company and assets, remain ever vigilant and be able to respond across any infected device or server you manage.

In this session you will learn about:

-The tactics attackers use to find their targets and begin the attack
-Tools you can use to stop a ransomware attack in its tracks
-Best practices to prevent and mitigate ransomware and reduce the cost to your organization

Presenters:

-James Beeson, Senior Vice President and Global CISO, Cigna
-Evan Pena, Director of Consulting, Mandiant
-Matt Bromiley, Senior Principal Consultant, Mandiant
-Robert Kusters, Senior Product Marketing Manager, Cloud Endpoint

",4/13/2021,no,"James Beeson##Senior Vice President and Global CISO, Cigna||Evan Pena##Director of Consulting, Mandiant||Matt Bromiley##Senior Principal Consultant, Mandiant||Robert Kusters##Senior Product Marketing Manager, Cloud Endpoint",https://www.brighttalk.com/webcast/7451/475967,No,,No,,,,Webinar,"Ransomwere, TTPS", ,General,No,47
